#	year	left	match	right	title	topic
1	1987	The Fed 's initial proposal last January recommended that , for such	low-risk	assets as Government securities , loans to industrialized countries and currency holdings , a bank should not have to maintain high levels of capital .	Washington Watch; Fed Vote on Banks' Capital	BANKS AND BANKING, REGULATION AND DEREGULATION OF INDUSTRY
2	1987	In fact , because the economic alternatives are so potentially disastrous , it is Mr. Baker - not the fiscal puritans of Tokyo and Bonn - who is pursuing the	low-risk	economic game plan during 1987 . ''	Mr. Baker's Subtle Strategy of Coercion	CURRENCY, INTERNATIONAL TRADE AND WORLD MARKET
3	1987	Nevertheless , Mr. Rossbach advises investors to choose ''	low-risk	'' regions , ones that have been drilled often enough so that it is fairly certain that explosive gases are not a problem , and that oil is not seeping into local rivers . ''	PERSONAL FINANCE	TAXATION, REFORM AND REORGANIZATION, FEDERAL TAXES (US), INCOME TAX, TAX-SHELTERED INVESTMENTS, REAL ESTATE, HOUSING, OIL (PETROLEUM) AND GASOLINE, GAS (FUEL), EXPLORATION OF RESOURCES
4	1987	Mr. Birden 's association , which represents the state 's 70 health districts , would prefer a '' priority '' system , in which ''	low-risk	'' establishments , such as school cafeterias , are inspected less often , and '' high-risk '' operations , such as restaurants with problem records , are scrutinized more often .	OFFICIALS SEEK TO CURB TAINTED FOOD OUTBREAKS	Terms not available
5	1987	When the RCA Corporation licensed its color television technology to the Japanese decades ago , its leaders saw the deals as a	low-risk	way to make some easy money .	STOPPING THE HIGH-TECH GIVEAWAY	SCIENCE AND TECHNOLOGY, JOINT VENTURES AND CONSORTIUMS, INTERNATIONAL TRADE AND WORLD MARKET, UNITED STATES ECONOMY, AEROSPACE INDUSTRIES AND SCIENCES, DATA PROCESSING, TELECOMMUNICATIONS, BIOLOGY AND BIOCHEMISTRY
6	1987	Most securities analysts praised the British Petroleum $ 7.4 billion offer as a	low-risk	way of increasing its stake in the oil and gas business at a time when oil prices are stable and apparently edging higher . ''	B.P. SEEKS BALANCE OF STANDARD	MERGERS, ACQUISITIONS AND DIVESTITURES
7	1987	It has lost market share by concentrating on relatively low-yielding ,	low-risk	money market funds - an emphasis that could pay off if interest rates continue to rise .	A FRENZY TO MARKET MUTUAL FUNDS	STOCKS AND BONDS, MARKETING AND MERCHANDISING, MUTUAL FUNDS
8	1987	According to a paper to be published shortly by Michael J. Barry and colleagues at the Harvard School of Public Health , the two standard AIDS tests would identify 28 true positives , 2 false negatives and 11 false positives when applied to a	low-risk	population , defined as 30 AIDS cases per 100,000 people .	When to Test for AIDS	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING
9	1987	From its outset , the Administration has shown an affinity for small-scale ,	low-risk	military ventures , although not always with sufficient attention to possible consequences .	REAGAN IS PREPARING TO SAIL IN UNCHARTED WATERS	OIL (PETROLEUM) AND GASOLINE, UNITED STATES INTERNATIONAL RELATIONS, TANKERS, INTERNATIONAL TRADE AND WORLD MARKET
10	1987	The study said that 62.6 million Americans lived in	low-risk	areas .	Optimism Increases on Surviving Atom War	ATOMIC WEAPONS
11	1987	There is an inevitable outcome to the logic of those who advocate dragnet testing of	low-risk	groups : quarantine .	Forced AIDS Tests. Then What?	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, QUARANTINE, TESTS AND TESTING, PRISONS AND PRISONERS, IMMIGRATION AND EMIGRATION
12	1987	Reducing caseloads will be accomplished by transferring a number of young adults to officers handling family-court cases and by putting	low-risk	probationers under the supervision of trainees .	PROBATION OFFICERS' CASELOADS TO BE CUT	PRISONS AND PRISONERS, PROBATION AND PAROLE, REFORM AND REORGANIZATION, DRUG ADDICTION AND ABUSE, TESTS AND TESTING
13	1987	Dr. Koop said the Federal Centers for Disease Control were conducting a study to determine the incidence of AIDS infection in the general population , especially among	low-risk	groups such as heterosexuals .	AIDS TESTING SEEN IN SURGERY CASES	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING, MEDICINE AND HEALTH, SURGERY AND SURGEONS
14	1987	32 Hasidim confront the secular 29 Illegal farm workers bewildered 31 '' You 're in a	low-risk	group , '' Tom said , standing , but I was thinking about all the lies I had heard and told over the years ; of all the ways people betray one another , of how impossible it is to ever know who one is with , even after one is married .	NEWS SUMMARY: SATURDAY, JULY 4, 1987	_
15	1987	In this way , he would arrogate	low-risk	people to the insurance industry and relegate high-risk people to the public sector .	Health Care for All Is a Public Responsibility	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), INSURANCE
16	1987	Dena Kleiman and other extremely	low-risk	individuals should stop obsessing and donate a unit of blood .	SHE TOOK THE AIDS TEST	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), TESTS AND TESTING
17	1987	Roving customs inspectors check for ''	low-risk	' travelers at the baggage carousel so they do not have to wait on line , said Irwin Gold , a supervisory customs inspector , as well as screen for more suspicious tourists and check passports .	Travelers Finding Shorter Waits For Immigration Checks at J.F.K.	TRAVEL AND VACATIONS, AIRLINES AND AIRPLANES
18	1987	Option Defined Options are relatively	low-risk	investments because , if it is not advantageous to buy the good or instrument contracted for at the set price when the contract is due to mature , the investor can walk away and allow the option contract to expire .	Oil Market Volatility Aids Merc	OIL (PETROLEUM) AND GASOLINE, PRICES, OPTIONS TRADING
19	1987	As a first step , he would permit banks to begin underwriting a limited menu of new securities such as municipal revenue bonds , mortgage-backed securities and other securities considered	low-risk	.	F.D.I.C.'s Chief Proposes Eliminating Of Bank Laws	BANKS AND BANKING, REGULATION AND DEREGULATION OF INDUSTRY
20	1987	The solution to the problem of internationalization is not the abolition of the Glass-Steagall Act but an approach that would protect the integrity of the federally insured program , continue to guarantee and separate stable pools of both high - and	low-risk	capital and open foreign markets to American banks .	Don't Let Banks Become Casinos	BANKS AND BANKING, GLASS-STEAGALL ACT, STOCKS AND BONDS
21	1987	These figures must give serious pause to people who advocate AIDS testing among	low-risk	populations , like marriage license applicants or hospital patients in low-risk areas .	When AIDS Tests Are Wrong	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING, VIRUSES
22	1987	These figures must give serious pause to people who advocate AIDS testing among low-risk populations , like marriage license applicants or hospital patients in	low-risk	areas .	When AIDS Tests Are Wrong	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING, VIRUSES
23	1987	If	low-risk	populations must be tested , the false positive rate must be pushed far lower .	When AIDS Tests Are Wrong	ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), EDITORIALS, TESTS AND TESTING, VIRUSES
