#	year	left	match	right	topic
1	1987	His wife chooses to believe it is for her	he	has run this risk .	BOOK REVIEWS
2	1987	g devotion belonged to the fellow slaves with whom	he	risked his life to share the potent secret of lite	BOOK REVIEWS
3	1987	y , the official said , and it seems doubtful that	he	will risk alienating President Moi .	UNITED STATES INTERNATIONAL RE
4	1987	He said	he	could not risk giving up the momentum provided by 	THEATER
5	1987	h sexual contact '' and that , as an AIDS victim ,	he	was running the risk of infection by going to the 	ACQUIRED IMMUNE DEFICIENCY SYN
6	1987	articularly if he writes about his own sexuality ,	he	risks bringing shame upon himself and his family .	BOOKS AND LITERATURE, POLITICS
7	1987		You	run that risk . ''	COSMETICS, BLACKS (IN US)
8	1987	A true McCalla , Randy declines her invitations :	he	takes no risks .	BOOK REVIEWS
9	1987	f he goes through with the meeting , as expected ,	he	risks alienating some of President Reagan 's impor	APARTHEID (POLICY), UNITED STA
10	1987	g at M.I.T. , reflected on the question of whether	he	would risk his career again for his conscience .	ASTRONAUTICS, ROCKETS AND ROCK
11	1987	The operators were eager to see that	he	did not run more risks with their capital , accord	TELEVISION, MERGERS, ACQUISITI
12	1987	He felt	he	took a risk and got only a kick in the teeth .	ELECTIONS, LEGISLATURES, BLACK
13	1987	sack and deposited on a California freeway , where	he	took the risk of being run over .	BOOK REVIEWS
14	1987	Beyond that , said Marshall , ''	he	could n't take the risk of being too cocky in publ	BOATS AND BOATING, RACES AND R
15	1987	choreographed a ballet with hermetic meaning , and	he	takes the risk of making that ballet look too simp	DANCING
16	1987		You	could risk being denied boarding if a counter cler	AIRLINES AND AIRPLANES, RATES,
17	1987	Bush were to try to move away from the President ,	he	would risk alienating the bulk of his existing sup	PRESIDENTIAL ELECTION OF 1988,
18	1987		You	're not risking a slap on the hand .	AVALANCHES AND LANDSLIDES, SKI
19	1987		You	're risking your life . ''	AVALANCHES AND LANDSLIDES, SKI
20	1987	If you insist that he try to do a wash anyway ,	you	run the risk of seeing your favorite outfits for t	MARRIAGES, HOUSEWORK
21	1987	But if Piniella puts both on his staff ,	he	is surely running the risk of having two starting 	BASEBALL
22	1987	Sometimes	you	take a risk , especially when American lives are i	UNITED STATES INTERNATIONAL RE
23	1987	By conceding as much as he did tonight ,	he	took the risk that at least for the moment people 	ARMS SALES ABROAD, ARMAMENT, D
24	1987	n in his guts that if he selected an improper name	he	risked being held up to ridicule . ''	NAMES, ORGANIZATIONAL, CORPORA
25	1987	ecca was within his rights to call time once , but	he	would have risked a technical foul with a second t	ATHLETICS AND SPORTS
26	1987	za-Fonseca , a 38-year-old Nicaraguan who asserted	she	would risk torture at the hands of the Sandinista 	IMMIGRATION AND EMIGRATION, FO
27	1987	 and you certainly could n't if I were the judge -	you	risk making the name Deaver synonymous with that o	UNITED STATES POLITICS AND GOV
28	1987	Only last year ,	he	risked his political skin by reversing his Sociali	EDITORIALS, UNITED STATES ARMA
29	1987	But now	he	's risking fooling himself again . ''	BOXING, MIDDLEWEIGHT, EYES AND
30	1987		He	's also risking damaging his left eye again agains	BOXING
